Amount,Vendor,Date,Category,Description
3000.00,"Fraudulent Patterns Inc",2025-02-05,"Utilities","Utilities purchase from Fraudulent Patterns Inc"
6924.25,"Round Numbers Ltd",2025-02-08,"Equipment","Equipment purchase from Round Numbers Ltd"
2644.73,"Standard Equipment",2026-01-15,"Office Supplies","Office Supplies purchase from Standard Equipment"
147451.05,"ABC Corporation",2026-01-22,"Maintenance","Maintenance purchase from ABC Corporation"
4820.75,"Quality Supplies",2025-04-16,"Professional Services","Professional Services purchase from Quality Supplies"
31586.49,"Express Delivery",2025-07-16,"Utilities","Utilities purchase from Express Delivery"
258.24,"QuickMart",2025-04-30,"Maintenance","Maintenance purchase from QuickMart"
511.39,"Fraudulent Patterns Inc",2025-08-05,"Travel","Travel purchase from Fraudulent Patterns Inc"
46.55,"City Utilities",2025-12-01,"Office Supplies","Office Supplies purchase from City Utilities"
2807.97,"Elite Consulting",2025-12-06,"Transportation","Transportation purchase from Elite Consulting"
3505.19,"Elite Consulting",2025-10-04,"Maintenance","Maintenance purchase from Elite Consulting"
454.94,"ABC Corporation",2025-04-27,"Transportation","Transportation purchase from ABC Corporation"
4567.27,"Professional Services LLC",2025-11-01,"Meals","Meals purchase from Professional Services LLC"
161.91,"Office Depot",2025-11-30,"Maintenance","Maintenance purchase from Office Depot"
3354.50,"ABC Corporation",2025-06-01,"Professional Services","Professional Services purchase from ABC Corporation"
24935.50,"Fraudulent Patterns Inc",2025-08-07,"Software","Software purchase from Fraudulent Patterns Inc"
1626.14,"Standard Equipment",2025-05-26,"Consulting","Consulting purchase from Standard Equipment"
30636.32,"Standard Equipment",2025-12-01,"Software","Software purchase from Standard Equipment"
519.38,"Express Delivery",2025-07-19,"Transportation","Transportation purchase from Express Delivery"
1339.08,"Quality Supplies",2025-03-14,"Equipment","Equipment purchase from Quality Supplies"
206.11,"Corporate Travel",2025-09-05,"Travel","Travel purchase from Corporate Travel"
173.01,"Global Supplies Inc",2025-08-16,"Software","Software purchase from Global Supplies Inc"
456.51,"QuickMart",2026-01-27,"Consulting","Consulting purchase from QuickMart"
217.49,"XYZ Industries",2025-08-13,"Equipment","Equipment purchase from XYZ Industries"
4538.25,"Corporate Travel",2025-11-22,"Transportation","Transportation purchase from Corporate Travel"
347.36,"Digital Solutions",2025-06-17,"Transportation","Transportation purchase from Digital Solutions"
13566.37,"Digital Solutions",2025-06-09,"Office Supplies","Office Supplies purchase from Digital Solutions"
49944.15,"Digit Manipulation Corp",2025-05-18,"Maintenance","Maintenance purchase from Digit Manipulation Corp"
3000.00,"Digit Manipulation Corp",2025-08-21,"Consulting","Consulting purchase from Digit Manipulation Corp"
10000.00,"Artificial Vendor Co",2025-11-15,"Travel","Travel purchase from Artificial Vendor Co"
2442.19,"Professional Services LLC",2025-03-07,"Travel","Travel purchase from Professional Services LLC"
16413.33,"XYZ Industries",2025-02-08,"Maintenance","Maintenance purchase from XYZ Industries"
91.68,"Premier Catering",2025-06-21,"Software","Software purchase from Premier Catering"
230.76,"Professional Services LLC",2025-02-10,"Meals","Meals purchase from Professional Services LLC"
44684.84,"Office Depot",2025-06-20,"Equipment","Equipment purchase from Office Depot"
42984.90,"Premier Catering",2025-10-09,"Maintenance","Maintenance purchase from Premier Catering"
24994.10,"Artificial Vendor Co",2026-01-03,"Utilities","Utilities purchase from Artificial Vendor Co"
91.14,"Digital Solutions",2025-10-08,"Maintenance","Maintenance purchase from Digital Solutions"
478.50,"Quality Supplies",2025-05-28,"Office Supplies","Office Supplies purchase from Quality Supplies"
15295.07,"Standard Equipment",2025-11-25,"Equipment","Equipment purchase from Standard Equipment"
2997.76,"Corporate Travel",2025-03-07,"Transportation","Transportation purchase from Corporate Travel"
9929.81,"Digit Manipulation Corp",2025-05-31,"Software","Software purchase from Digit Manipulation Corp"
224.42,"Global Supplies Inc",2025-02-23,"Software","Software purchase from Global Supplies Inc"
24178.26,"Corporate Travel",2025-04-17,"Meals","Meals purchase from Corporate Travel"
5000.00,"Artificial Vendor Co",2026-01-17,"Professional Services","Professional Services purchase from Artificial Vendor Co"
25000.00,"Artificial Vendor Co",2026-01-09,"Consulting","Consulting purchase from Artificial Vendor Co"
917.49,"TechCorp Solutions",2025-05-08,"Consulting","Consulting purchase from TechCorp Solutions"
2185.17,"City Utilities",2025-03-02,"Utilities","Utilities purchase from City Utilities"
40655.43,"Metro Transit",2025-05-23,"Transportation","Transportation purchase from Metro Transit"
370.77,"Professional Services LLC",2025-10-07,"Professional Services","Professional Services purchase from Professional Services LLC"
40.54,"Quality Supplies",2025-12-08,"Transportation","Transportation purchase from Quality Supplies"
42.75,"XYZ Industries",2025-06-21,"Equipment","Equipment purchase from XYZ Industries"
24916.53,"Fraudulent Patterns Inc",2025-03-17,"Equipment","Equipment purchase from Fraudulent Patterns Inc"
314.81,"Corporate Travel",2025-11-13,"Travel","Travel purchase from Corporate Travel"
73.13,"Office Depot",2025-03-17,"Transportation","Transportation purchase from Office Depot"
2694.41,"Elite Consulting",2025-05-22,"Equipment","Equipment purchase from Elite Consulting"
20000.00,"Round Numbers Ltd",2025-11-12,"Office Supplies","Office Supplies purchase from Round Numbers Ltd"
575438.77,"Shell Company A",2025-02-03,"Software","Software purchase from Shell Company A"
3571.05,"Standard Equipment",2026-01-13,"Utilities","Utilities purchase from Standard Equipment"
82.03,"City Utilities",2025-11-25,"Maintenance","Maintenance purchase from City Utilities"
14387.01,"Digital Solutions",2025-08-02,"Transportation","Transportation purchase from Digital Solutions"
2945.31,"Office Depot",2025-03-25,"Transportation","Transportation purchase from Office Depot"
15.71,"Global Supplies Inc",2025-04-28,"Consulting","Consulting purchase from Global Supplies Inc"
34190.72,"Standard Equipment",2025-02-18,"Meals","Meals purchase from Standard Equipment"
508128.42,"Digit Manipulation Corp",2025-05-04,"Utilities","Utilities purchase from Digit Manipulation Corp"
2578.94,"XYZ Industries",2025-08-31,"Office Supplies","Office Supplies purchase from XYZ Industries"
267.05,"Standard Equipment",2025-07-13,"Office Supplies","Office Supplies purchase from Standard Equipment"
272.85,"Quality Supplies",2025-02-13,"Equipment","Equipment purchase from Quality Supplies"
4298.11,"Global Supplies Inc",2025-02-12,"Meals","Meals purchase from Global Supplies Inc"
121.97,"Office Depot",2025-07-15,"Transportation","Transportation purchase from Office Depot"
3133.77,"City Utilities",2025-02-22,"Software","Software purchase from City Utilities"
5000.00,"Shell Company A",2025-12-06,"Transportation","Transportation purchase from Shell Company A"
3995.41,"City Utilities",2025-06-17,"Software","Software purchase from City Utilities"
32.09,"Quality Supplies",2025-11-05,"Utilities","Utilities purchase from Quality Supplies"
57432.60,"Fraudulent Patterns Inc",2026-01-10,"Equipment","Equipment purchase from Fraudulent Patterns Inc"
577.09,"Artificial Vendor Co",2025-07-19,"Equipment","Equipment purchase from Artificial Vendor Co"
9924.34,"Fraudulent Patterns Inc",2025-12-03,"Software","Software purchase from Fraudulent Patterns Inc"
478.19,"City Utilities",2025-04-10,"Maintenance","Maintenance purchase from City Utilities"
3989.25,"Quality Supplies",2025-09-25,"Meals","Meals purchase from Quality Supplies"
253.09,"Elite Consulting",2025-09-12,"Transportation","Transportation purchase from Elite Consulting"
398.64,"Standard Equipment",2025-04-12,"Transportation","Transportation purchase from Standard Equipment"
23351.13,"Global Supplies Inc",2025-08-01,"Travel","Travel purchase from Global Supplies Inc"
166.71,"Standard Equipment",2025-03-26,"Equipment","Equipment purchase from Standard Equipment"
409.29,"Global Supplies Inc",2025-09-12,"Transportation","Transportation purchase from Global Supplies Inc"
24524.81,"Corporate Travel",2025-11-07,"Travel","Travel purchase from Corporate Travel"
27637.17,"Express Delivery",2026-01-02,"Equipment","Equipment purchase from Express Delivery"
225.29,"Metro Transit",2025-12-07,"Professional Services","Professional Services purchase from Metro Transit"
54.27,"XYZ Industries",2025-05-03,"Transportation","Transportation purchase from XYZ Industries"
427.09,"Professional Services LLC",2025-03-02,"Office Supplies","Office Supplies purchase from Professional Services LLC"
509.16,"Round Numbers Ltd",2025-08-15,"Travel","Travel purchase from Round Numbers Ltd"
200434.20,"Standard Equipment",2025-06-01,"Equipment","Equipment purchase from Standard Equipment"
3130.08,"Digital Solutions",2026-01-15,"Office Supplies","Office Supplies purchase from Digital Solutions"
2220.10,"Elite Consulting",2025-12-28,"Office Supplies","Office Supplies purchase from Elite Consulting"
32.11,"Professional Services LLC",2025-03-12,"Professional Services","Professional Services purchase from Professional Services LLC"
2024.77,"TechCorp Solutions",2025-07-18,"Maintenance","Maintenance purchase from TechCorp Solutions"
343.46,"Premier Catering",2025-03-17,"Travel","Travel purchase from Premier Catering"
57.44,"XYZ Industries",2025-02-28,"Equipment","Equipment purchase from XYZ Industries"
176.81,"ABC Corporation",2025-09-23,"Utilities","Utilities purchase from ABC Corporation"
3562.68,"Premier Catering",2025-03-20,"Office Supplies","Office Supplies purchase from Premier Catering"
2322.62,"Quality Supplies",2025-06-24,"Software","Software purchase from Quality Supplies"
106.11,"QuickMart",2025-04-29,"Software","Software purchase from QuickMart"
361.06,"XYZ Industries",2025-10-27,"Equipment","Equipment purchase from XYZ Industries"
101.35,"Metro Transit",2025-06-09,"Meals","Meals purchase from Metro Transit"
7853.10,"QuickMart",2025-07-26,"Consulting","Consulting purchase from QuickMart"
2660.32,"Digital Solutions",2025-11-29,"Transportation","Transportation purchase from Digital Solutions"
207.14,"Office Depot",2025-11-24,"Transportation","Transportation purchase from Office Depot"
70492.51,"Digital Solutions",2025-08-02,"Professional Services","Professional Services purchase from Digital Solutions"
1357.01,"Quality Supplies",2025-09-29,"Maintenance","Maintenance purchase from Quality Supplies"
385.60,"Corporate Travel",2025-05-19,"Software","Software purchase from Corporate Travel"
212.97,"Metro Transit",2025-03-25,"Meals","Meals purchase from Metro Transit"
45092.02,"Metro Transit",2025-10-22,"Travel","Travel purchase from Metro Transit"
31807.48,"Quality Supplies",2025-11-03,"Travel","Travel purchase from Quality Supplies"
803.98,"Professional Services LLC",2025-10-17,"Maintenance","Maintenance purchase from Professional Services LLC"
2552.89,"City Utilities",2025-12-28,"Maintenance","Maintenance purchase from City Utilities"
214.88,"Metro Transit",2025-04-11,"Equipment","Equipment purchase from Metro Transit"
4785.63,"Round Numbers Ltd",2025-09-28,"Consulting","Consulting purchase from Round Numbers Ltd"
4317.64,"Standard Equipment",2025-10-21,"Consulting","Consulting purchase from Standard Equipment"
366.29,"TechCorp Solutions",2025-06-02,"Office Supplies","Office Supplies purchase from TechCorp Solutions"
177.44,"Digital Solutions",2025-10-15,"Utilities","Utilities purchase from Digital Solutions"
56.58,"QuickMart",2025-07-29,"Travel","Travel purchase from QuickMart"
362983.93,"Premier Catering",2025-11-23,"Office Supplies","Office Supplies purchase from Premier Catering"
24924.82,"Fraudulent Patterns Inc",2025-11-09,"Maintenance","Maintenance purchase from Fraudulent Patterns Inc"
196.37,"QuickMart",2025-09-06,"Maintenance","Maintenance purchase from QuickMart"
4968.19,"TechCorp Solutions",2025-08-06,"Software","Software purchase from TechCorp Solutions"
10000.00,"Fraudulent Patterns Inc",2025-07-15,"Utilities","Utilities purchase from Fraudulent Patterns Inc"
3958.76,"Professional Services LLC",2025-04-29,"Travel","Travel purchase from Professional Services LLC"
432148.53,"Office Depot",2025-11-06,"Professional Services","Professional Services purchase from Office Depot"
46903.46,"Standard Equipment",2025-06-11,"Meals","Meals purchase from Standard Equipment"
242.66,"Office Depot",2025-09-10,"Utilities","Utilities purchase from Office Depot"
1720.87,"QuickMart",2026-01-04,"Meals","Meals purchase from QuickMart"
